type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
Short,16-09-2025 18:00,22-09-2025 03:45,116446.1,114552.9,0.06005062,113.6878335,2.774326628,110.9135069,14096.23448,14142.5358,-0.003273905
Long,22-09-2025 03:45,27-09-2025 23:15,114552.9,109593,0.061527183,-305.1686749,2.758213161,-307.9268881,13788.30759,14142.5358,-0.025047008
Short,27-09-2025 23:15,30-09-2025 11:15,109593,112894.2,0.062906881,-207.6681952,2.799195158,-210.4673903,13577.8402,14142.5358,-0.039928879
Long,30-09-2025 11:15,01-10-2025 10:30,112894.2,116219.8,0.060135243,199.9857627,2.755565193,197.2301975,13775.0704,14142.5358,-0.025982992
Short,01-10-2025 10:30,07-10-2025 15:00,116219.8,122770,0.05926301,-388.1845698,2.832650994,-391.0172208,13384.05318,14142.5358,-0.053631303
Long,07-10-2025 15:00,08-10-2025 12:00,122770,122878.6,0.054508647,5.919639062,2.677994564,3.241644498,13387.29482,14142.5358,-0.05340209
Short,08-10-2025 12:00,10-10-2025 18:45,122878.6,117427.9,0.054473663,296.9195934,2.618075046,294.3015183,13681.59634,14142.5358,-0.032592419
Long,10-10-2025 18:45,12-10-2025 18:00,117427.9,113854.7,0.058255305,-208.1578571,2.694687697,-210.8525448,13470.7438,14142.5358,-0.047501524
Short,12-10-2025 18:00,16-10-2025 17:15,113854.7,108495.9,0.05915761,317.0137986,2.630746,314.3830526,13785.12685,14142.5358,-0.025271914
Long,16-10-2025 17:15,19-10-2025 12:00,108495.9,107789,0.063528331,-44.90817704,2.748043735,-47.65622077,13737.47063,14142.5358,-0.028641622
Short,19-10-2025 12:00,21-10-2025 03:00,107789,109506.7,0.063723899,-109.4585408,2.769385834,-112.2279266,13625.2427,14142.5358,-0.036577111
Long,21-10-2025 03:00,21-10-2025 16:30,109506.7,113702.4,0.062211914,261.0225256,2.777253046,258.2452726,13883.48798,14142.5358,-0.018316929
Short,21-10-2025 16:30,22-10-2025 22:30,113702.4,107040.7,0.061051869,406.7092332,2.695355748,404.0138775,14287.50185,14287.50185,0
Long,22-10-2025 22:30,23-10-2025 07:30,107040.7,109554.3,0.066738642,167.7542498,2.891051221,164.8631986,14452.36505,14452.36505,0
Short (End),23-10-2025 07:30,28-10-2025 05:18,109554.3,113825.9,0.065959826,-281.7539912,2.946823809,-284.700815,14167.66424,14452.36505,-0.019699254
